"","RunNr","mRF_Grid","mRF_LHS"
"179",179,0.0858839049943036,0.0135890247109617
"180",180,0.0418944852916861,0.0105253450023454
"181",181,0.146453485602222,0.0287555005645511
"182",182,0.0277369546181581,0.0220623929939169
"183",183,0.174021965013784,0.0541719571632808
"184",184,0.0305876068756856,0.0102217465849105
"185",185,0.115044155341537,0.0485334524843505
"186",186,0.00926058516293948,0.011521501817047
"187",187,0.0496733481339927,0.0153629622034141
"188",188,0.0576763837591847,0.0103166652037601
"189",189,0.071878699536274,0.0256879232961173
"190",190,0.217420938350179,0.0417142182902032
"191",191,0.0594683198935221,0.01023504080121
"192",192,0.136581499986255,0.029373465276198
"193",193,0.0607015136723517,0.0060314034328514
"194",194,0.038676775022449,0.0172266129012152
"195",195,0.0688216874638285,0.0146005939735472
"196",196,0.407449882928963,0.0456722804012242
"197",197,0.0436585864845787,0.0162695581130852
"198",198,0.100078884497821,0.0203260537188536
"199",199,0.0193161620588357,0.00364329697689876
"200",200,0.298974497167268,0.0523028147921112
"201",201,0.0997527152351758,0.0246272160433441
"202",202,0.0401944603679129,0.0116086518401469
"203",203,0.0192648675546341,0.012408849768935
"204",204,0.118207278327893,0.039561238479418
"205",205,0.0259371119799904,0.013575412439213
"206",206,0.232732823979741,0.0252514802879904
"207",207,0.0787016215362025,0.0143812240947797
"208",208,0.116483019475199,0.0399566080059223
"209",209,0.0498584947974082,0.017576995878798
"210",210,0.0432862484234238,0.0413524620637398
"211",211,0.0749405225877246,0.0218004830161287
"212",212,0.382687120343171,0.0514279293979866
"213",213,0.261681648003754,0.0513939267822906
"214",214,0.0140338710734024,0.00725202580834114
"215",215,0.0651625755150772,0.0343961095374823
"216",216,0.321798810022857,0.0445696387773437
"217",217,0.115158883927703,0.0342994894147373
"218",218,0.0299935098865733,0.0114694356362021
"219",219,0.0186430389045532,0.00910530932111951
"220",220,0.127168420001605,0.0123289841678668
"221",221,0.398030749994992,0.0428129747597551
"222",222,0.0599551647676352,0.0230181027804582
"223",223,0.063042762045137,0.0138359970365241
"224",224,0.118842833527034,0.0658298386571955
"225",225,0.0302756243425213,0.0154383418355113
"226",226,0.445950063227721,0.0806998722587805
"227",227,0.0143643806848082,0.0129739524210396
"228",228,0.115203014476875,0.0374985118350066
"229",229,0.0365223363438418,0.015945001114588
"230",230,0.0837234369879279,0.0223309444948141
"231",231,0.0500143400759906,0.0111209216068626
"232",232,0.0686781067867901,0.0208334518799604
"233",233,0.178573645221492,0.030755736414805
"234",234,0.0331643992963961,0.0325750423057799
"235",235,0.0263847031224218,0.0181202585324359
"236",236,0.551995972575691,0.158649891386931
"237",237,0.0366633907670385,0.0287358760977309
"238",238,0.302104572588626,0.064737874272697
"239",239,0.232014292530768,0.0415448786468931
"240",240,0.109524935277729,0.0263197130181883
"241",241,0.0939412892216283,0.0166916985136791
"242",242,0.0348406493258485,0.0130275282736204
