The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", ld_category "leaf distribution ", ld_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT ld_m.ld_category, sbs.sbs_sbsnumber, ld_m.m_methodname, sbs.sbs_sbsname, ld_m.ld_valid, ld_m.ref_refname, ld_m.or_origrefname, ld_m.ld_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ld.ld_sbsnumber, r_ld.ld_category, m.m_methodname, r_ld.ld_valid, r_ld.ref_refname, r_ld.or_origrefname FROM (SELECT ld_orf.ld_sbsnumber, ld_orf.ld_category, ld_orf.ld_methodid, ld_orf.ld_valid, r.ref_refname, ld_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ld.ld_sbsnumber, ld.ld_category, ld.ld_methodid, ld.ld_valid, ld.ld_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS ld_sbsnumber, leafdistributionname AS ld_category, methodid AS ld_methodid, valid AS ld_valid, referenceid AS ld_referenceid, origreferenceid AS ld_origreferenceid FROM (select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid, leafdistributionname
from
(select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid from leafdistribution natural join taxontosbsassignment)
natural join
leafdistributionname_lv WHERE valid IN (-2, 1))) ld FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ld.ld_origreferenceid = orf.or_origrefid) ld_orf ON r.ref_referenceid = ld_orf.ld_referenceid) r_ld LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_ld.ld_methodid = m.m_methodid) ld_m ON sbs.sbs_sbsnumber = ld_m.ld_sbsnumber)
on Mon Apr 26 11:03:40 CEST 2010 .

SBS number;general method;SBS name;leaf distribution ;valid;reference;original reference
30536;estimation;Rubus chloocladus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30537;estimation;Rubus chlorothyrsos;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30546;estimation;Rosa stylosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30556;estimation;Rubus adscitus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30571;estimation;Rosa micrantha;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30578;estimation;Rosa pendulina;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30583;estimation;Potentilla sterilis;semi-rosette ;1;BIOLFLOR database;
30585;estimation;Prunus armeniaca;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30615;estimation;Hieracium alpinum;semi-rosette ;1;BIOLFLOR database;
30622;estimation;Potentilla reptans;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
30633;estimation;Fragaria vesca;semi-rosette ;1;BIOLFLOR database;
30638;estimation;Geum urbanum;semi-rosette ;1;BIOLFLOR database;
30642;estimation;Potentilla argentea;semi-rosette ;1;BIOLFLOR database;
30678;estimation;Alchemilla reniformis;semi-rosette ;1;BIOLFLOR database;
30702;estimation;Hieracium nigrescens;semi-rosette ;1;BIOLFLOR database;
30703;estimation;Alchemilla glomerulans;semi-rosette ;1;BIOLFLOR database;
30710;estimation;Alchemilla impexa;semi-rosette ;1;BIOLFLOR database;
30721;estimation;Alchemilla effusa;semi-rosette ;1;BIOLFLOR database;
30726;estimation;Sorbus parumlobata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30733;estimation;Spiraea japonica;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30734;estimation;Spiraea tomentosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
35609;estimation;Alisma plantago-aquatica;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
35614;estimation;Baldellia ranunculoides;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
35620;estimation;Butomus umbellatus;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
35625;estimation;Alisma gramineum;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
35630;estimation;Alisma lanceolatum;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
35649;estimation;Luronium natans;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
